family,rep,step,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
dublin_real,2,L2_recourse,90.61372,79.82622,188.38988,10.7875,120.98058,0.615,1.55,21.95156,0.0,0.0,0.0,13.0,20.1
dublin_real,2,L3_dependence,90.79863,79.95363,188.69057,10.845,118.50399,0.52,1.125,15.96487,0.0,0.0,0.0,13.0,20.1
dublin_real,2,L4_conformal,93.13293,85.58293,201.97572,7.55,112.01218,0.07,0.085,1.34815,0.0,0.0,0.0,18.0,30.1
dublin_real,2,L5_dro,93.62039,85.97539,202.90191,7.645,113.53348,0.065,0.075,1.02604,0.0,0.0,0.0,18.0,30.1
dublin_real,2,L6_policy,87.79276,80.07526,188.97761,7.7175,108.27993,0.16,0.22,3.18095,0.0,0.0,0.0,16.0,50.1
dublin_real,2,L7_safeguard,87.79276,80.07526,188.97761,7.7175,108.27993,0.16,0.22,3.18095,0.0,0.0,0.0,16.0,50.1
peshawar_real,1,L0_det,244.88211,116.46711,274.86238,128.415,573.43275,0.265,0.42,4.7923,0.0,0.0,0.675,24.0,20.1
peshawar_real,1,L1_scen_blind,3013.69914,72.22414,170.44897,2941.475,3108.13221,0.435,0.785,7.44528,0.0,0.0,1.0,12.0,20.1
peshawar_real,1,L2_recourse,98.62359,87.91859,207.48788,10.705,141.42749,0.145,0.19,2.19958,0.0,0.0,0.05,27.0,20.1
peshawar_real,1,L3_dependence,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0,20.1
peshawar_real,1,L4_conformal,100.04781,90.98031,214.71353,9.0675,132.15082,0.105,0.13,1.49052,0.0,0.0,0.025,28.0,30.2
peshawar_real,1,L5_dro,101.18931,91.40681,215.72008,9.7825,136.38674,0.115,0.155,1.61894,0.0,0.0,0.02,28.0,30.2
peshawar_real,1,L6_policy,101.84348,89.95348,212.29021,11.89,149.79773,0.18,0.24,2.4314,0.0,0.0,0.06,27.0,50.2
peshawar_real,1,L7_safeguard,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0,50.1
peshawar_real,2,L0_det,267.77031,111.97281,264.25583,155.7975,603.94135,0.375,0.61,6.25094,0.0,0.0,0.75,23.0,20.1
peshawar_real,2,L1_scen_blind,3463.43276,69.81276,164.75811,3393.62,3572.52911,0.295,0.365,3.70409,0.0,0.0,1.0,10.0,20.1
peshawar_real,2,L2_recourse,103.74443,90.48193,213.53735,13.2625,153.29194,0.13,0.155,1.50872,0.0,0.0,0.065,27.0,20.1
peshawar_real,2,L3_dependence,101.57495,88.85745,209.70358,12.7175,146.62168,0.125,0.17,1.51813,0.0,0.0,0.06,27.0,20.2
peshawar_real,2,L4_conformal,100.35049,89.73549,211.77575,10.615,130.69439,0.075,0.095,0.91792,0.0,0.0,0.02,28.0,30.2
peshawar_real,2,L5_dro,99.51758,89.51758,211.2615,10.0,131.36573,0.085,0.1,0.81697,0.0,0.0,0.025,28.0,30.2
peshawar_real,2,L6_policy,105.87205,94.48705,222.98945,11.385,149.17514,0.115,0.165,1.46385,0.0,0.0,0.045,27.0,50.1
peshawar_real,2,L7_safeguard,101.57495,88.85745,209.70358,12.7175,146.62168,0.125,0.17,1.51813,0.0,0.0,0.06,27.0,50.2
solomon_c101,1,L0_det,467.14803,440.11265,1038.66586,27.03538,532.09434,0.395,0.44,30.55542,1.0,255.95756,0.0,22.0,20.1
solomon_c101,1,L1_scen_blind,4223.5156,255.65275,603.34049,3967.86285,4254.52459,0.005,0.005,0.15133,1.0,10989.75697,1.0,10.0,20.1
solomon_c101,1,L2_recourse,515.00804,337.39368,796.24907,177.61436,644.55627,0.485,0.885,56.44544,1.0,3248.0872,0.035,12.0,20.1
solomon_c101,1,L3_dependence,416.01935,396.5969,935.96868,19.42245,476.76544,0.245,0.31,17.83138,1.0,114.99907,0.0,20.0,20.1
solomon_c101,1,L4_conformal,496.11206,384.823,908.18228,111.28906,545.2042,0.06,0.07,2.77848,1.0,1990.98123,0.0,17.0,30.1
solomon_c101,1,L5_dro,479.09676,437.34294,1032.12934,41.75382,521.81277,0.01,0.01,0.7839,1.0,567.07641,0.0,24.0,30.1
solomon_c101,1,L6_policy,471.89675,378.05943,892.22026,93.83732,530.2336,0.125,0.14,7.98313,1.0,1634.99633,0.0,16.0,50.1
solomon_c101,1,L7_safeguard,418.30441,397.97086,939.21123,20.33355,479.79656,0.245,0.315,16.98063,1.0,115.221,0.0,21.0,50.1
solomon_c101,2,L0_det,418.3245,363.31033,857.41239,55.01417,529.94504,0.57,1.085,79.32526,1.0,750.23334,0.0,19.0,20.1
solomon_c101,2,L1_scen_blind,3926.08252,264.9825,625.35871,3661.10001,3974.18482,0.1,0.125,7.52923,1.0,18602.60029,1.0,12.0,20.1
solomon_c101,2,L2_recourse,408.37937,355.18203,838.22959,53.19734,483.11299,0.34,0.47,25.08757,1.0,758.49676,0.0,17.0,20.1
solomon_c101,2,L3_dependence,413.23625,366.34706,864.57905,46.8892,503.22744,0.33,0.48,29.67102,1.0,645.08393,0.0,17.0,20.1
solomon_c101,2,L4_conformal,389.52028,361.23575,852.51636,28.28453,434.14365,0.075,0.08,3.03777,1.0,282.2406,0.0,18.0,30.1
solomon_c101,2,L5_dro,436.38103,355.20656,838.28749,81.17447,491.46512,0.07,0.095,4.43754,1.0,1371.73933,0.0,16.0,30.1
solomon_c101,2,L6_policy,604.72152,431.80049,1019.04916,172.92103,672.65106,0.195,0.235,11.50258,1.0,3203.72054,0.0,16.0,50.1
